Z [IMP],Z [mm],X [IMP],X [mm],Yaw [deg]
"2' 0"" 11/16",627.85,"-1' 9"" 1/4",-69.42,-3.79
"2' 7"" 1/2",800.5,"-1' 10"" 7/8",-29.08,-0.95
"14' 0"" 9/16",4280.84,"0' 1"" 7/8",47.19,-12.61
"14' 0"" 5/8",4282.61,"0' 1"" 7/8",47.21,0.0
"21' 3"" 5/8",6492.12,"0' 0"" 1/4",6.78,5.68
"20' 10"" 0",6350.66,"-1' 7"" 3/4",-108.53,5.95
"20' 10"" 9/16",6364.25,"-1' 7"" 3/4",-108.64,0.0
"20' 9"" 1/16",6326.5,"-1' 7"" 3/4",-108.35,4.67
"16' 10"" 5/16",5139.42,"-1' 7"" 7/8",-104.13,-7.81
"24' 10"" 3/8",7577.93,"-1' 0"" 1/8",-300.88,-6.21
"25' 11"" 3/8",7908.13,"-1' 11"" 1/2",-12.13,8.08
"28' 5"" 1/8",8663.8,"-1' 3"" 7/16",-217.37,-0.81
"31' 5"" 3/8",9585.51,"-1' 4"" 3/8",-193.73,-1.26
"31' 11"" 7/16",9738.71,"-1' 4"" 5/16",-195.89,-0.88
"32' 0"" 9/16",9767.23,"-1' 4"" 1/4",-196.26,-3.3
"31' 7"" 15/16",9649.71,"-1' 4"" 5/16",-194.63,2.99
"31' 2"" 1/2",9512.91,"-1' 4"" 7/16",-192.74,-0.88
"29' 6"" 3/16",8997.11,"2' 1"" 1/16",636.8,5.2
"30' 0"" 7/16",9155.66,"2' 1"" 9/16",649.11,5.2
"29' 7"" 1/16",9019.18,"2' 1"" 1/8",638.54,23.45
"30' 10"" 13/16",9418.87,"-1' 1"" 5/16",-270.75,-24.2
"31' 9"" 15/16",9700.67,"-1' 1"" 1/16",-277.08,-24.2
"31' 1"" 1",9499.48,"-1' 1"" 1/4",-272.59,-24.2
"31' 8"" 7/8",9674.9,"-1' 1"" 1/8",-276.51,-24.2
"30' 11"" 1/4",9429.88,"-1' 1"" 5/16",-270.96,-24.2
"30' 9"" 13/16",9392.8,"-1' 1"" 3/8",-270.19,-24.2
"28' 3"" 15/16",8634.58,"-1' 4"" 9/16",-189.53,4.71
"28' 2"" 7/16",8596.85,"-1' 4"" 9/16",-188.96,-15.0
"28' 2"" 7/8",8608.07,"-1' 4"" 9/16",-189.11,-15.0
"15' 2"" 3/8",4632.54,"-1' 7"" 1/2",-113.99,-4.72
"15' 2"" 3/4",4641.6,"-2' 5"" 3/8",-473.11,-4.27
"14' 11"" 11/16",4563.5,"1' 7"" 3/4",501.85,15.85
"14' 5"" 11/16",4410.92,"-3' 4"" 7/16",-801.29,-15.98
"14' 6"" 3/8",4429.76,"-3' 4"" 5/16",-804.36,-5.91
"14' 1"" 3/4",4311.45,"0' 0"" 3/8",10.1,2.56
"14' 2"" 1",4342.77,"0' 0"" 7/16",10.63,-0.02
"14' 5"" 1/8",4397.01,"0' 0"" 1/4",6.97,-0.0
"14' 2"" 3/4",4336.43,"0' 0"" 7/16",10.51,2.56
"26' 6"" 5/8",8093.81,"-1' 2"" 1/2",-240.97,-14.77
