Z [IMP],Z [mm],X [IMP],X [mm],Yaw [deg]
"28' 11"" 7/8",8835.55,"-1' 3"" 11/16",-211.17,-22.7
"29' 6"" 13/16",9012.84,"-1' 3"" 15/16",-204.7,-14.29
"29' 10"" 1/8",9095.91,"-1' 3"" 1/2",-215.63,-22.7
"32' 8"" 7/8",9979.33,"-2' 9"" 9/16",-367.4,0.92
"32' 9"" 9/16",9996.13,"-2' 9"" 1/2",-367.87,0.92
"32' 11"" 7/8",10055.42,"-2' 9"" 7/16",-369.73,-1.11
"32' 7"" 11/16",9949.62,"-2' 9"" 9/16",-366.48,0.92
"12' 11"" 15/16",3960.14,"-1' 10"" 1/16",-48.79,1.32
"12' 10"" 11/16",3928.53,"-1' 10"" 1/16",-48.88,3.62
"13' 0"" 1/2",3975.73,"-1' 10"" 1/16",-48.75,0.45
"13' 2"" 1/2",4026.07,"-1' 10"" 1/16",-48.6,-0.0
"12' 11"" 5/8",3952.09,"-1' 10"" 1/16",-48.81,3.62
