Z [IMP],Z [mm],X [IMP],X [mm],Yaw [deg]
14266.0439453125,-0.08
14825.71484375,-0.09
14605.3818359375,-0.06
14615.0791015625,-0.06
15193.458984375,-0.06
14929.9931640625,-0.05
15220.2255859375,-0.06
14815.154296875,-0.08
14980.837890625,-0.08
14997.345703125,-0.08
14892.9501953125,-0.12
14919.7451171875,-0.12
14968.0654296875,-0.12
15000.9384765625,-0.12
15319.130859375,-0.12
14992.0283203125,-0.12
14910.984375,-0.12
14771.451171875,-0.11
14701.1865234375,-0.06
15422.849609375,-0.07
14623.732421875,-0.06
15513.8916015625,-0.07
14633.53515625,-0.06
14692.5263671875,-0.06
15188.517578125,-0.06
14877.0732421875,-0.09
15239.994140625,-0.06
15034.1220703125,-0.08
15145.955078125,-0.09
15135.244140625,-0.06
15305.9375,-0.06
15282.921875,-0.09
15225.9130859375,-0.09
15194.025390625,-0.13
15302.1025390625,-0.1
14938.166015625,-0.11
15111.0849609375,-0.12
14710.0185546875,-0.11
14686.6533203125,-0.11
15040.673828125,-0.12
15254.951171875,-0.13
2627.09375,2.7
2587.565673828125,0.28
2590.287841796875,0.28
2575.66455078125,0.29
2584.054931640625,0.29
2593.228759765625,0.28
2592.978515625,0.28
2588.995361328125,0.28
2589.84423828125,0.28
2592.18798828125,0.28
2595.446533203125,0.28
2588.010986328125,0.28
2579.2978515625,0.29
2586.20751953125,0.29
2586.00048828125,0.29
2594.427978515625,0.28
2574.163818359375,0.29
2571.997314453125,0.29
2586.58984375,0.29
2585.836181640625,0.29
2598.532470703125,0.28
2595.79833984375,0.28
2594.74951171875,0.28
2585.387939453125,0.29
2589.596923828125,0.28
2509.60009765625,-1.67
2463.87890625,16.55
2460.845458984375,16.55
2435.406982421875,-0.98
2540.09326171875,-0.63
2539.583984375,-0.53
2465.02978515625,-0.58
2476.942138671875,-0.77
2600.2529296875,2.44
2593.212158203125,2.44
2505.51904296875,0.03
2510.042724609375,-1.07
2452.439697265625,-0.77
2518.158203125,0.11
2519.72265625,0.12
2574.9306640625,-1.53
2582.086181640625,-4.92
2560.167724609375,-2.04
